vendor_id,vendor_name,vendor_type,location,VPI_Score,VPI_Category,low_vpi_risk_prob,risk_level,deterioration_risk_flag,avg_delay_days,delay_frequency,rejection_rate_pct,avg_payment_delay,payment_risk_ratio,penalty_cases,contract_value_lakhs,last_delivery_month,Action_Priority,Action_Owner,Action_Status,Action_DueDate,Recommended_Action,Action_Reason,ops_priority_score,scm_priority_score,wc_exposure_lakhs_base,msme_flag,relationship_years,max_delay_days,avg_planned_days,total_invoice_amount,risk_target
V0001,Vendor_V0001,Infra,Hyderabad,66.7,Medium,0.0016959190184571682,Low,0,2.375,0.625,5.59,5.4,0.0,0,375,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Moderate delivery delay + Payment delays,1.3849462406015038,2.4965753424657535,0.6657534246575343,0,5,9,36.958333333333336,843,0
V0002,Vendor_V0002,Services,Pune,65.21,Medium,4.5581915748246435e-05,Low,0,2.6666666666666665,0.75,1.84,6.782608695652174,0.1304347826086956,1,343,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Penalty exposure + Moderate delivery delay,1.4266912280701751,3.685181179273377,0.7648552709946397,0,12,7,35.583333333333336,1345,0
V0003,Vendor_V0003,OEM,Chennai,59.58,Medium,0.021471040426174207,Low,0,1.5,0.4583333333333333,7.15,5.954545454545454,0.0454545454545454,2,152,2024-12-31,P1 (High),Vendor Manager,Open,2026-04-10,Intervene within 30 days: stabilize plan + clear backlog,High rejection / quality risk + Penalty exposure,0.9906904761904762,2.9683927770859273,0.29756413449564134,0,11,8,33.916666666666664,1438,0
V0004,Vendor_V0004,OEM,Pune,47.6,Low,0.73136133375695,High,1,3.7083333333333335,0.8333333333333334,6.45,7.071428571428571,0.0714285714285714,0,146,2024-12-31,P1 (High),Vendor Manager,Open,2026-04-10,Intervene within 30 days: stabilize plan + clear backlog,Predicted deterioration risk + Moderate delivery delay,2.0380645363408525,3.466085714285714,0.3394285714285714,1,11,12,35.75,1771,1
V0005,Vendor_V0005,Infra,Hyderabad,54.63,Medium,0.21700182383281547,Low,0,4.291666666666667,0.75,2.34,6.285714285714286,0.0,5,125,2024-12-31,P1 (High),Vendor Manager,Open,2026-04-10,Intervene within 30 days: stabilize plan + clear backlog,Penalty exposure + Moderate delivery delay,2.1592820802005015,2.95440313111546,0.2583170254403131,1,1,13,33.0,1152,0
V0006,Vendor_V0006,Infra,Bangalore,65.99,Medium,0.004712045122799727,Low,0,1.9166666666666667,0.5,5.86,6.1,0.0,1,623,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Penalty exposure + Payment delays,1.1773350877192983,2.969941369863014,1.249413698630137,1,13,7,32.041666666666664,1132,0
V0007,Vendor_V0007,Infra,Hyderabad,54.45,Medium,0.1329418835268914,Low,0,2.958333333333333,0.75,5.22,6.68,0.08,1,397,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Penalty exposure + Moderate delivery delay,1.6627246867167917,3.473187726027397,0.8718772602739726,0,1,10,33.458333333333336,1629,0
V0008,Vendor_V0008,Services,Bangalore,60.43,Medium,0.011735385748720864,Low,0,2.5416666666666665,0.5833333333333334,2.29,9.862068965517242,0.1379310344827586,1,70,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Penalty exposure + Moderate delivery delay,1.3335026315789473,5.043385923476618,0.22696268304204065,0,10,8,32.166666666666664,1767,0
V0009,Vendor_V0009,OEM,Mumbai,59.47,Medium,0.003194674081314847,Low,0,4.041666666666667,0.7916666666666666,2.91,5.526315789473684,0.0526315789473684,2,48,2024-12-31,P1 (High),Vendor Manager,Open,2026-04-10,Intervene within 30 days: stabilize plan + clear backlog,Penalty exposure + Moderate delivery delay,2.067390852130326,2.779773612112473,0.08720980533525595,1,9,11,33.583333333333336,1106,0
V0010,Vendor_V0010,OEM,Hyderabad,68.97,Medium,0.00037625048825632265,Low,0,1.5,0.5,3.86,7.275862068965517,0.0689655172413793,1,481,2024-12-31,P2 (Medium),Ops/SCM SPOC,Open,2026-05-10,Preventive fixes: improve discipline + monitor weekly,Penalty exposure + Payment delays,0.9209378446115288,3.7305755314123754,1.1505829003306567,0,7,5,32.583333333333336,1762,0
